File: qperf-go
Type: cpu
Time: Nov 16, 2023 at 7:29pm (CET)
Duration: 5.50s, Total samples = 10.02s (182.02%)
Showing nodes accounting for 10.02s, 100% of 10.02s total
      flat  flat%   sum%        cum   cum%
         0     0%   100%      0.05s   0.5%  github.com/quic-go/quic-go.(*receiveStream).signalRead (inline)
         0     0%   100%      0.80s  7.98%  github.com/quic-go/quic-go.(*sconn).Write
         0     0%   100%      0.91s  9.08%  github.com/quic-go/quic-go.(*sendQueue).Run
         0     0%   100%      0.08s   0.8%  github.com/quic-go/quic-go.(*streamsMap).GetOrOpenReceiveStream
         0     0%   100%      0.08s   0.8%  github.com/quic-go/quic-go.(*streamsMap).getOrOpenReceiveStream
         0     0%   100%      0.04s   0.4%  github.com/quic-go/quic-go.getLargePacketBuffer (inline)
         0     0%   100%      0.09s   0.9%  github.com/quic-go/quic-go.getPacketBuffer (inline)
         0     0%   100%      0.01s   0.1%  github.com/quic-go/quic-go.parseIPv4PktInfo
         0     0%   100%      0.33s  3.29%  github.com/quic-go/quic-go.xadsStreamI.handleStreamFrame
         0     0%   100%      0.06s   0.6%  github.com/quic-go/quic-go/internal/ackhandler.(*receivedPacketHandler).ReceivedPacket
         0     0%   100%      0.02s   0.2%  github.com/quic-go/quic-go/internal/ackhandler.(*receivedPacketTracker).isMissing
         0     0%   100%      0.01s   0.1%  github.com/quic-go/quic-go/internal/ackhandler.(*sentPacketHandler).ReceivedAck
         0     0%   100%      0.01s   0.1%  github.com/quic-go/quic-go/internal/ackhandler.getPacket
         0     0%   100%      0.06s   0.6%  github.com/quic-go/quic-go/internal/congestion.(*cubicSender).HasPacingBudget
         0     0%   100%      0.02s   0.2%  github.com/quic-go/quic-go/internal/congestion.(*cubicSender).OnPacketSent
         0     0%   100%      0.02s   0.2%  github.com/quic-go/quic-go/internal/congestion.(*pacer).SentPacket
         0     0%   100%      0.02s   0.2%  github.com/quic-go/quic-go/internal/congestion.newPacer.func1
         0     0%   100%      0.02s   0.2%  github.com/quic-go/quic-go/internal/flowcontrol.(*streamFlowController).UpdateHighestReceived
